character,codepoint,unicode_name,unicode_category,unicode_block,production_occurrences,resource_classes,sample_contexts,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
佐,U+4F50,CJK UNIFIED IDEOGRAPH-4F50,Lo,CJK Unified Ideographs,3,BRIEFING | YPK_GTT,YPK_GTT/1C79F46D#36: 以大佐的资金为基础实现它。就像大战期间ONCE的“Cobra部队”那样。 || BRIEFING/BRIEFING_FILES_BLOCK_042C00#7: 这些目击报告，也能佐证恐龙仍然存活的说法。 || BRIEFING/BRIEFING_FILES_BLOCK_053820#10: 逻辑上我早就明白。可我需要佐证。TheBoss最后的行动，她真正的意图。无论如何都要！,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
佑,U+4F51,CJK UNIFIED IDEOGRAPH-4F51,Lo,CJK Unified Ideographs,2,BRIEFING | YPK_GTT,YPK_GTT/1C677327#89: 希望索奇克察尔能保佑你… || BRIEFING/BRIEFING_FILES_BLOCK_031190#3: 公牛鲨tiburóntoro在河里也能生存。不过也许不用担心，一定会有圣约翰SanJuan保佑你。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
体,U+4F53,CJK UNIFIED IDEOGRAPH-4F53,Lo,CJK Unified Ideographs,679,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#51: 幽灵被吸进那个士兵的身体了……？厉害，你把他救活了吗？ || YPK_GTT/1C0FB26B#52: 士兵复苏后，灵魂和肉体重新融合了吗……？ || YPK_GTT/1C0FB26B#58: 快点，同伴的体力撑不住了！ || YPK_GTT/1C0FB26B#133: 就像观鸟时识别个体一样。仔细分辨特征。 || YPK_GTT/1C0FB26B#154: 绝对别被发现。与自然融为一体！,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
何,U+4F55,CJK UNIFIED IDEOGRAPH-4F55,Lo,CJK Unified Ideographs,265,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#79: 拜托！无论如何都要救出同志COMPA！ || YPK_GTT/1C0FB26B#155: 严禁战斗。不要留下任何痕迹，继续前进。 || YPK_GTT/1C0FB26B#182: 目标是让所有士兵投降HOLDUP……拜托，别伤害任何人。 || YPK_GTT/1C0FB26B#209: 无论如何守住那里！ || YPK_GTT/1C0FB26B#210: 无论如何守住它！,CN_ALREADY_COVERED,NO,YES,YES,YES,YES,YES
余,U+4F59,CJK UNIFIED IDEOGRAPH-4F59,Lo,CJK Unified Ideographs,176,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#66: 俘虏被放在一览无余的地方，多半是陷阱。小心。 || YPK_GTT/1C7A72AD#7: 注意屏幕左侧LIFE槽的剩余量。 || LOOSE_OLANG/005184E3#3292: 存储设备剩余空间不足。保存本游戏数据需要至少XXMB的剩余空间。 || STAGEDAT_OLANG/LANG_DATAINSTALL.OLANG#7570: MemoryStick剩余空间不足。安装系统数据需要可用空间。返回标题菜单后，可从[删除]菜单删除不需要的数据。 || STAGEDAT_OLANG/LANG_DATAINSTALL.OLANG#7584: MemoryStick剩余空间不足。安装系统数据至少需要可用空间。返回标题菜单后，可从[删除]菜单删除不需要的数据。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
佛,U+4F5B,CJK UNIFIED IDEOGRAPH-4F5B,Lo,CJK Unified Ideographs,11,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_0033A0#10: 这个词的起源可以追溯到梵语sunya……也就是佛教所说的「空」。 || BRIEFING/BRIEFING_FILES_BLOCK_0033A0#11: 佛教所说的「空」有“空虚”之意。据说指的是膨胀之后，内部变得空无的状态。 || BRIEFING/BRIEFING_FILES_BLOCK_061FE0#6: 舒芙蕾、泡芙塔、可露丽、佛罗伦汀、库因阿曼、蜜桃梅尔巴……。 || BRIEFING/BRIEFING_FILES_BLOCK_061FE0#16: 要追溯到16世纪。佛罗伦萨美第奇家族有个叫Catherine的姑娘嫁进了法国王室。 || BRIEFING/BRIEFING_FILES_BLOCK_061FE0#19: 来自佛罗伦萨的美第奇家族？那这么说，本来不就是意大利点心吗？,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
作,U+4F5C,CJK UNIFIED IDEOGRAPH-4F5C,Lo,CJK Unified Ideographs,1566,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#28: 化作森林…… || YPK_GTT/1C0FB26B#61: 找出动作明显不同于其他敌兵的人。那就是目标。 || YPK_GTT/1C0FB26B#62: 就是那个动作古怪的敌兵，明白吗？ || YPK_GTT/1C0FB26B#73: 换作是我，会好好对待俘虏的…… || YPK_GTT/1C0FB26B#82: 应该有个装备奇怪、动作很外行的敌人。回收那个人，明白吗？,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
你,U+4F60,CJK UNIFIED IDEOGRAPH-4F60,Lo,CJK Unified Ideographs,5713,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#1: 前往目标地点。我们会在那里回收你。 || YPK_GTT/1C0FB26B#13: 不愧是你。这种程度只是小菜一碟吧？ || YPK_GTT/1C0FB26B#16: 表现不错。以后也期待你的发挥。 || YPK_GTT/1C0FB26B#19: 怎么了？你那边发生什么事了……？ || YPK_GTT/1C0FB26B#26: 我会找到你的！,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
佣,U+4F63,CJK UNIFIED IDEOGRAPH-4F63,Lo,CJK Unified Ideographs,304,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#5437: ●CIA雇佣兵 || LOOSE_OLANG/00D345A5#5950: 内容精彩、充满魅力的热门杂志。据说CIA雇佣兵和MSF队员中也有不少忠实读者。要是摆在眼前，有时甚至会让人把工作都丢到一边…… || LOOSE_OLANG/00D345A5#5951: 内容精彩、充满魅力的热门杂志。据说CIA雇佣兵和MSF队员中也有不少忠实读者。要是摆在眼前，有时甚至会让人把工作都丢到一边…… || LOOSE_OLANG/00D345A5#5952: 内容精彩、充满魅力的热门杂志。据说CIA雇佣兵和MSF队员中也有不少忠实读者。要是摆在眼前，有时甚至会让人把工作都丢到一边…… || LOOSE_OLANG/00D345A5#5953: 内容精彩、充满魅力的热门杂志。据说CIA雇佣兵和MSF队员中也有不少忠实读者。要是摆在眼前，有时甚至会让人把工作都丢到一边……,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
佩,U+4F69,CJK UNIFIED IDEOGRAPH-4F69,Lo,CJK Unified Ideographs,7,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#9: 不愧是Boss！真让人佩服。 || LOOSE_OLANG/007E2F18#5355: ●奥梅特佩岛 || STAGEDAT_OLANG/LANG_MISSION_RESULT.OLANG#18317: 新制服已开发。『战斗服（佩戴头盔）』 || SLOT_OLANG/5D904CFF#62564: NWD-W202耳机一体式WALKMAN。通过削减显示屏等功能，实现了简单操作，并大幅轻量化、小型化。螺旋式颈带使佩戴时不易移位，也很适合轻度运动。搭载可连续播放歌曲高潮片段的「ZAPPIN」，既能用于搜歌，也能享受如倒数榜单节目般的新听法。 || SLOT_OLANG/5DDD0EA8#89905: ●奥梅特佩岛,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
佳,U+4F73,CJK UNIFIED IDEOGRAPH-4F73,Lo,CJK Unified Ideographs,4,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D3AF9CD#33944: 自动移动到最佳位置发射核导弹的自动报复Fail-deadly系统。 || SLOT_OLANG/5D3AFD2D#34278: 基于相互确保摧毁MAD的人工智能AI，在假想敌核袭击时对最佳地点实施有效报复。 || SLOT_OLANG/5D3AFD2D#34290: ‘能从全球尺度思考，审视过去与未来，在痛苦之后作出最佳判断的人。’ || BRIEFING/BRIEFING_FILES_BLOCK_088F20#39: 他们认定，这是让事态平稳收场的最佳办法。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
使,U+4F7F,CJK UNIFIED IDEOGRAPH-4F7F,Lo,CJK Unified Ideographs,3978,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#7: 还没找到吗？试试使用夜视仪。 || YPK_GTT/1C0FB26B#117: 摧毁敌人的物资。使用C4炸弹！ || YPK_GTT/1C0FB26B#192: 只打倒正在使用机枪座的士兵就行。 || YPK_GTT/1C677327#18: 狙击手使用激光瞄准器的话会很麻烦… || YPK_GTT/1C7679A5#29: 在没有大型兵器的区域AREA使用电磁网也是白费。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
侃,U+4F83,CJK UNIFIED IDEOGRAPH-4F83,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5DD9B1F3#88738: 略带调侃、真遗憾,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
例,U+4F8B,CJK UNIFIED IDEOGRAPH-4F8B,Lo,CJK Unified Ideographs,8,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_DEVELOP_METAL.OLANG#18786: (无需)提示样例 || SLOT_OLANG/5D2E0FEE#30815: (不使用)字幕示例 || SLOT_OLANG/5D7B474A#52047: Boss伤害比例 || SLOT_OLANG/5D7B474A#52134: Boss伤害比例：% || SLOT_OLANG/5D7B474A#52433: Boss伤害比例,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
供,U+4F9B,CJK UNIFIED IDEOGRAPH-4F9B,Lo,CJK Unified Ideographs,165,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7C736D#17: 被押走了吗。别招供啊……拜托了…… || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7477: 根据Huey提供的情报，Snake进入热带云雾林，前往其中的AI开发研究设施（Lab）。出自MAINOPS『前往热带云雾林』 || STAGEDAT_OLANG/LANG_MYOUTER_STAFF.OLANG#9755: 此外，当前食物是否足以供应所有人员，会以“FOOD（粮食供给率）”显示。 || STAGEDAT_OLANG/LANG_MYOUTER_STAFF.OLANG#9849: 提供餐食，提高“FOOD（粮食供给率）”。此外，还可以开发高等级的恢复道具。 || STAGEDAT_OLANG/LANG_MYOUTER_TOP.OLANG#9947: 欢迎来到MSF（无国界军队）的MotherBase！在MotherBase，可以通过武器开发、情报活动等方式，为任务提供各种支援。,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
依,U+4F9D,CJK UNIFIED IDEOGRAPH-4F9D,Lo,CJK Unified Ideographs,34,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#36: 只能试着依靠你自己的灵感了。 || YPK_GTT/1C7679A5#97: 搜索虽然停止了，但警戒依然加强。 || YPK_GTT/1C79F3ED#9: 击中部位不同，得分也不同。头部、躯干、手臂依次得分更高。 || YPK_GTT/1C7A72ED#43: C4炸弹会按照安放顺序依次引爆。 || STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#10976: 大口径通用机枪。虽然因重量大而依然难以操控，但使用穿甲弹后也成为对付装甲车辆的有效武器。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
侣,U+4FA3,CJK UNIFIED IDEOGRAPH-4FA3,Lo,CJK Unified Ideographs,1,YPK_GTT,YPK_GTT/1C7679A5#214: 情侣装吗……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
侦,U+4FA6,CJK UNIFIED IDEOGRAPH-4FA6,Lo,CJK Unified Ideographs,126,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#0: 如果附近潜伏着侦察SCOUT兵，很难发现他们。小心。 || YPK_GTT/1C677327#1: 这里非常适合侦察SCOUT兵藏身。留意周围。 || YPK_GTT/1C677327#7: 有些侦察SCOUT兵会用草木和泥土伪装。融入自然后更难对付。 || YPK_GTT/1C7AF36D#12: 爬到车体上，应该更方便侦察各处吧？ || LOOSE_OLANG/007E2F18#4981: 适合远距离监视和侦察的军用双筒望远镜。装备后按使用。可调整第一人称视角倍率。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
侧,U+4FA7,CJK UNIFIED IDEOGRAPH-4FA7,Lo,CJK Unified Ideographs,42,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7A72AD#7: 注意屏幕左侧LIFE槽的剩余量。 || YPK_GTT/1C7A736D#36: 冲击让履带侧面的梯子放下来了！现在能上去了！ || YPK_GTT/1C7B72ED#18: 公路靠山一侧有座碉堡。 || YPK_GTT/1C7BF2ED#10: 能从那里绕到外侧吗？ || YPK_GTT/1C7BF2ED#13: 从侧面的话，好像能潜入要塞。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
侮,U+4FAE,CJK UNIFIED IDEOGRAPH-4FAE,Lo,CJK Unified Ideographs,3,BRIEFING | LOOSE_OLANG,LOOSE_OLANG/00D0C740#5911: 拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？ || BRIEFING/BRIEFING_FILES_BLOCK_027C30#6: 对了。做和平手势时别把手背朝外。听说在英国一带，那样是在侮辱对方。 || BRIEFING/BRIEFING_FILES_BLOCK_084BB0#6: 烟雾缭绕中，他们喝酒吃肉。低俗笑话和拿彼此出身开涮的侮辱性称呼满天飞。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
侵,U+4FB5,CJK UNIFIED IDEOGRAPH-4FB5,Lo,CJK Unified Ideographs,290,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7A73ED#59: MotherBase有入侵者！ZEKEZEKE出动！立刻排除！ || YPK_GTT/1C7BF2ED#6: 敌人肯定会提防有人从梯子入侵。 || LOOSE_OLANG/007E2F18#5527: 注意事项设置的玩家名称会在游戏内公开。此外，该名称可能会显示在本公司或经本公司许可的第三方可查看的位置、第三方发布的图片或游玩视频中，并可能通过Discord、Facebook、YouTube等平台公开。请勿设置可识别特定个人身份、可用于联系或以其他方式访问个人、侵犯第三方权利、违反公序良俗，或违反适用于本游戏的各项… || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6707: 远程操纵METALGEARZEKE，将MotherBase的入侵者全部歼灭。 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#17246: 远程操纵METALGEARZEKE，将MotherBase的入侵者全部歼灭。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
便,U+4FBF,CJK UNIFIED IDEOGRAPH-4FBF,Lo,CJK Unified Ideographs,489,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#15: 要是MotherBase能造出便携式高性能雷达就好了。 || YPK_GTT/1C7679A5#218: 怎么样？那身衣服很方便行动吧。我就是穿着它打过游击战的。 || YPK_GTT/1C7A72AD#5: 不要随便开枪，会要命的。 || YPK_GTT/1C7AF36D#12: 爬到车体上，应该更方便侦察各处吧？ || LOOSE_OLANG/005184E3#3196: “Boss，你是猫派还是狗派？顺便一提，我是猫派……阿嚏！阿嚏！不过我对猫过敏。”,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
促,U+4FC3,CJK UNIFIED IDEOGRAPH-4FC3,Lo,CJK Unified Ideographs,8,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D97F0B2#63413: 向冲突地区派遣部队（TEAM）。成功后有望增加兵员、促进成长，并提高GMP。 || SLOT_OLANG/5DD9B1F3#88736: 连声催促、冲冲冲 || BRIEFING/BRIEFING_FILES_BLOCK_004F80#2: 看来，由苏联在古巴部署核武器所引发的一连串危机，正是促成条约签订的契机。 || BRIEFING/BRIEFING_FILES_BLOCK_00DDC0#16: 我并不是他的思想追随者。不过，那件事确实成了促使我思考的契机。 || BRIEFING/BRIEFING_FILES_BLOCK_07A0B0#52: 我由衷感谢命运促成了这一切。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
俄,U+4FC4,CJK UNIFIED IDEOGRAPH-4FC4,Lo,CJK Unified Ideographs,16,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D7B474A#52144: 新制服已开发：俄国士兵（仅限VERSUSOPS） || SLOT_OLANG/5D7B474A#52145: 新制服已开发：俄国突击队员（仅限VERSUSOPS） || SLOT_OLANG/5D7B474A#52530: 新制服已开发：俄国士兵（仅限VERSUSOPS） || SLOT_OLANG/5D7B474A#52531: 新制服已开发：俄国突击队员（仅限VERSUSOPS） || SLOT_OLANG/5DEDCB1E#90850: 俄制栓动式步枪。它最初是沙皇俄国的主力步兵步枪，在第二次世界大战中作为红军狙击手的'长矛'参加过多场重要战斗。它也是眼镜蛇部队的年迈狙击手TheEnd钟爱的武器。Mosin-Nagant的精度并不出众，射速也低；其魅力在于能够发射让目标陷入睡眠的特殊麻醉弹。对于想要在不接近敌人的情况下完成不杀通关的玩家来说，绝对必备…,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
俗,U+4FD7,CJK UNIFIED IDEOGRAPH-4FD7,Lo,CJK Unified Ideographs,7,BRIEFING | LOOSE_OLANG | SLOT_OLANG,LOOSE_OLANG/007E2F18#5527: 注意事项设置的玩家名称会在游戏内公开。此外，该名称可能会显示在本公司或经本公司许可的第三方可查看的位置、第三方发布的图片或游玩视频中，并可能通过Discord、Facebook、YouTube等平台公开。请勿设置可识别特定个人身份、可用于联系或以其他方式访问个人、侵犯第三方权利、违反公序良俗，或违反适用于本游戏的各项… || SLOT_OLANG/5DEDCB1E#90733: 面向文学爱好者的月刊低俗杂志，以成人内容为特色。来自世界各地士兵投稿的真实旅行日志必读。也拥有大量衣着暴露的美女插图。 || BRIEFING/BRIEFING_FILES_BLOCK_017000#12: 对。两个人紧贴在一起的话，应该能一起钻进去。俗称『LoveCardboard』。 || BRIEFING/BRIEFING_FILES_BLOCK_05B2E0#12: Densuke是便携式PORTABLE录音机的俗称。听说来源于一部漫画的主人公名字。 || BRIEFING/BRIEFING_FILES_BLOCK_06ECD0#6: 写得可难听了。什么“保守”、“庸俗”之类的。,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
俘,U+4FD8,CJK UNIFIED IDEOGRAPH-4FD8,Lo,CJK Unified Ideographs,559,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#55: 搜寻俘虏时夜视仪很有用。快找到他们。 || YPK_GTT/1C0FB26B#65: 不管是不是美军，虐待俘虏都不可原谅。一定要救出他们。 || YPK_GTT/1C0FB26B#66: 俘虏被放在一览无余的地方，多半是陷阱。小心。 || YPK_GTT/1C0FB26B#71: 听说俘虏都是优秀的游击队员。一定要回收他们。 || YPK_GTT/1C0FB26B#73: 换作是我，会好好对待俘虏的……,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
保,U+4FDD,CJK UNIFIED IDEOGRAPH-4FDD,Lo,CJK Unified Ideographs,733,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#12: 成功了！继续保持。 || YPK_GTT/1C0FB26B#195: 保护Boss！别让敌人继续推进！ || YPK_GTT/1C0FB26B#197: 保护我们的Boss！ || YPK_GTT/1C0FB26B#226: 保护母基地！把导弹打下来！ || YPK_GTT/1C0FB26B#230: 别放过小偷！保护我们的物资！,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
信,U+4FE1,CJK UNIFIED IDEOGRAPH-4FE1,Lo,CJK Unified Ideographs,795,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#62: 那封信让我很在意。 || YPK_GTT/1C677327#63: Huey的信，我也想看看… || YPK_GTT/1C677327#64: 是写给Strangelove博士的信吗… || YPK_GTT/1C677327#65: Huey先生的信…你读了吗？ || YPK_GTT/1C677327#66: 那封信里也许写着重要情报。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
俩,U+4FE9,CJK UNIFIED IDEOGRAPH-4FE9,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5DDFF09B#90202: 喂喂，我们俩是什么关系。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
修,U+4FEE,CJK UNIFIED IDEOGRAPH-4FEE,Lo,CJK Unified Ideographs,184,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C79F2AD#15: 通过“部位目标辅助”，准星会自动修正到附近的部位目标。 || YPK_GTT/1C7A73AD#1: 这里好像是维修用船坞。似乎通向闸门另一边的运河…… || YPK_GTT/1C7A73AD#3: 设备很齐全的船坞。看来也能用作AI兵器的维修基地。 || YPK_GTT/1C7A73ED#8: 被摧毁的炮台已经修复！好好利用！ || YPK_GTT/1C7A73ED#14: 那座炮台被ZEKEZEKE摧毁了。正在抢修。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
俯,U+4FEF,CJK UNIFIED IDEOGRAPH-4FEF,Lo,CJK Unified Ideographs,1,YPK_GTT,YPK_GTT/1C79F42D#22: 它在空中蹬腿时可能会俯冲！,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
俱,U+4FF1,CJK UNIFIED IDEOGRAPH-4FF1,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_060910#19: 嗯。他说人并没有与生俱来的本质，所谓自我，是由自己自由创造出来的。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
倍,U+500D,CJK UNIFIED IDEOGRAPH-500D,Lo,CJK Unified Ideographs,163,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7A736D#39: 实战完全不同…感觉比开发测试时狂暴好几倍。 || LOOSE_OLANG/0005EE2F#3052: 可用左摇杆调整画面显示位置。用LT和RT调整画面显示倍率。按确认。按恢复默认显示设置。 || LOOSE_OLANG/0066E64E#3434: 变焦倍率 || LOOSE_OLANG/0066E64E#3438: 变焦倍率 || LOOSE_OLANG/007E2F18#4981: 适合远距离监视和侦察的军用双筒望远镜。装备后按使用。可调整第一人称视角倍率。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
倒,U+5012,CJK UNIFIED IDEOGRAPH-5012,Lo,CJK Unified Ideographs,290,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#44: 幽灵？没兴趣。要是Harpy我倒想看看…… || YPK_GTT/1C0FB26B#49: 给倒下的同伴做心脏按摩！ || YPK_GTT/1C0FB26B#105: 把携带文件的敌人彻底击倒。否则无法回收文件，明白吗？ || YPK_GTT/1C0FB26B#179: 没有哪个士兵会蠢到踩香蕉摔倒。所以香蕉不能当设置型武器。 || YPK_GTT/1C0FB26B#191: 只需要打倒操作机枪座的士兵。加油。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
候,U+5019,CJK UNIFIED IDEOGRAPH-5019,Lo,CJK Unified Ideographs,389,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#67: 真是的。这种时候还有闲心写情书。 || YPK_GTT/1C7679A5#35: 刚收到报告，好像不知什么时候有个敌兵扒在富尔顿直升机上。 || YPK_GTT/1C7679A5#134: LIFE太低了！现在是打无线电的时候吗？ || YPK_GTT/1C7A72ED#70: 被关在这里的时候，我连活着的感觉都没有。 || YPK_GTT/1C7A72ED#71: 被Snake打中的时候，我真以为自己死定了。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
倚,U+501A,CJK UNIFIED IDEOGRAPH-501A,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_034C20#8: 连我们倚仗的老爸MIVIEJO也失去了……。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
借,U+501F,CJK UNIFIED IDEOGRAPH-501F,Lo,CJK Unified Ideographs,141,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7679A5#213: 抱歉，制服有味道吗？我把没洗的那件借给你了。 || YPK_GTT/1C79F42D#49: 原来如此……这造型很合理。说不定能借鉴一下…… || OHD/1E4C1146#181: 借我一下！ || LOOSE_OLANG/005184E3#3306: 借我用一下 || LOOSE_OLANG/005184E3#3307: 借我用一下,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
